year,Base case cost,Modeled water and wastewater efficiency
2017,61466.6412354,89862.3391784
2018,65711.4226429,92742.9389959
2019,71191.4123693,96731.5981568
2020,74502.059173,98824.2447561
2021,77253.6388627,100442.156383
2022,79690.0533882,101799.910379
2023,81789.2302328,102877.823512
2024,83815.0358524,103907.945113
2025,86007.6121055,105101.928533
2026,88513.7160082,106588.602173
2027,90767.2210012,107868.991226
2028,92897.3698926,109056.654787
2029,95522.5922358,110693.167584
2030,97705.8286813,111955.979477
2031,100279.042986,113578.091539
