year,Base case diesel consumed,Modeled wind power
2019,123601.374576,82509.3727072
2020,123601.374576,82509.3727072
2021,123601.374576,82509.3727072
2022,123527.273032,82435.2711637
2023,123527.273032,82435.2711637
2024,123453.171489,82361.1696202
2025,123453.171489,82361.1696202
2026,123453.171489,82361.1696202
2027,123379.069945,82287.0680767
2028,123379.069945,82287.0680767
2029,123304.968402,82212.9665332
2030,123304.968402,82212.9665332
2031,123230.866858,82138.8649897
2032,123230.866858,82138.8649897
2033,123230.866858,82138.8649897
2034,123156.765315,82064.7634462
2035,123156.765315,82064.7634462
2036,123156.765315,82064.7634462
2037,123082.663771,81990.6619027
2038,123082.663771,81990.6619027
