year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.39
2001,,,2.25
2004,,1.59,2.82
2005,,1.74,2.99
2008,,3.12,5.98
2009,,4.08,7.75
2010,,3.37,4.81
2011,,3.59,5.54
2012,,4.12,6.52
2013,,5.31,6.58
2014,,5.28,6.48
2016,start of forecast,1.88,4.34
2017,,2.24,4.7
2018,,2.51,4.97
2019,,2.87,5.33
2020,,3.04,5.5
2021,,3.16,5.62
2022,,3.25,5.71
2023,,3.31,5.77
2024,,3.36,5.82
2025,,3.42,5.88
2026,,3.5,5.96
2027,,3.56,6.02
2028,,3.61,6.07
2029,,3.68,6.14
2030,,3.72,6.18
2031,,3.79,6.25
2032,,3.87,6.33
2033,,3.95,6.41
2034,,4.03,6.49
2035,,4.08,6.54
2036,,4.16,6.62
2037,,4.21,6.67
2038,,4.29,6.75
2039,,4.35,6.81
2040,,4.44,6.9
