year,Base case diesel consumed,Modeled diesel efficiency
2019,123601.374576,112364.885978
2020,123601.374576,112364.885978
2021,123601.374576,112364.885978
2022,123527.273032,112297.520939
2023,123527.273032,112297.520939
2024,123453.171489,112230.155899
2025,123453.171489,112230.155899
2026,123453.171489,112230.155899
2027,123379.069945,112162.790859
2028,123379.069945,112162.790859
2029,123304.968402,112095.42582
2030,123304.968402,112095.42582
2031,123230.866858,112028.06078
2032,123230.866858,112028.06078
2033,123230.866858,112028.06078
2034,123156.765315,111960.695741
2035,123156.765315,111960.695741
2036,123156.765315,111960.695741
2037,123082.663771,111893.330701
2038,123082.663771,111893.330701
