year,Base case cost,Modeled wind power
2019,354735.945033,586981.221711
2020,375748.178711,595430.637138
2021,390580.34366,599603.596863
2022,401463.637355,601028.260622
2023,408875.273737,600178.292254
2024,414802.656203,598338.22579
2025,422209.846492,597769.334923
2026,432086.100211,599107.867741
2027,439229.489006,598547.471902
2028,445398.442503,597493.72267
2029,453762.283719,598063.760254
2030,458694.482455,596376.553418
2031,467044.985393,597180.904944
2032,476903.454742,599263.011776
2033,486761.924091,601461.80809
2034,496321.764219,603475.929834
2035,502479.602485,603248.437119
2036,512332.14371,605775.21931
2037,518178.014478,605450.563193
2038,528024.627579,608181.186899
