year,Base case diesel consumed,Modeled residential ashp
2017,7199.94392575,-41152.2980159
2018,7384.96806975,-40967.2738719
2019,7569.99221375,-40782.2497279
2020,7755.01635775,-40597.2255839
2021,7940.04050175,-40412.2014399
2022,8125.06464575,-40227.1772959
2023,8310.08878975,-40042.1531519
2024,8495.11293375,-39857.1290079
2025,8680.13707775,-39672.1048639
2026,8865.16122175,-39487.0807199
2027,9050.18536575,-39302.0565759
2028,9235.20950975,-39117.0324319
2029,9420.23365375,-38932.0082879
2030,9605.25779775,-38746.9841439
2031,9975.30608575,-38376.9358559
