year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,79972.4527311,58987.695021
2018,79972.4527311,58987.695021
2019,79972.4527311,58987.695021
2020,79972.4527311,58987.695021
2021,79972.4527311,58987.695021
2022,79972.4527311,58987.695021
2023,79972.4527311,58987.695021
2024,79972.4527311,58987.695021
2025,79972.4527311,58987.695021
2026,79972.4527311,58987.695021
2027,79972.4527311,58987.695021
2028,79972.4527311,58987.695021
2029,79972.4527311,58987.695021
2030,79972.4527311,58987.695021
2031,79972.4527311,58987.695021
