year,Base case cost,Modeled wind power
2019,1738899.14894,2203884.59721
2020,1841549.34139,2281169.80149
2021,1917634.76711,2335308.48356
2022,1970902.39953,2369523.13457
2023,2006414.15448,2388351.36189
2024,2037486.94005,2403551.76851
2025,2072998.695,2422961.23762
2026,2117746.39526,2450852.93281
2027,2158068.63584,2475110.12175
2028,2190261.97451,2492540.02495
2029,2230623.24306,2517364.87894
2030,2257284.07863,2530295.60826
2031,2302107.58322,2559569.76355
2032,2346946.09857,2589102.1763
2033,2395840.80896,2622411.24736
2034,2445148.31519,2656365.09286
2035,2476268.38466,2674426.37062
2036,2525171.35096,2708423.44886
2037,2555859.86113,2726490.44548
2038,2604314.75631,2760466.48207
