year,Base case cost,Modeled non-residential energy efficiency
2017,4156068.86692,4091811.28214
2018,4428087.30247,4328280.67361
2019,4805890.68517,4660915.80633
2020,4979680.24122,4808782.89535
2021,5108133.39134,4915766.51397
2022,5198806.20318,4988713.22619
2023,5259254.74442,5034469.7215
2024,5312147.218,5073586.6241
2025,5372595.75923,5119762.77223
2026,5448156.43577,5179845.21356
2027,5516161.04466,5233273.48135
2028,5569053.51823,5273191.03398
2029,5637058.12712,5327000.97432
2030,5682394.53305,5360439.34717
2031,5757955.20959,5421465.18552
