year,Base case diesel consumed,Modeled solar power (pv)
2016,443146.398927,438318.700706
2017,443296.506508,438507.429873
2018,443446.614089,438695.850067
2019,443596.721669,438883.963759
2020,443746.82925,439071.773403
2021,443896.936831,439259.281431
2022,443896.936831,439296.382674
2023,443896.936831,439333.187107
2024,443896.936831,439369.697105
2025,443896.936831,439405.915023
2026,443971.990621,439516.896988
2027,444047.044412,439627.591527
2028,444272.205783,439888.108521
2029,444347.259573,439998.23509
2030,444347.259573,440033.027286
2031,444422.313363,440142.594934
2032,444497.367154,440251.886472
2033,444497.367154,440285.850318
2034,444572.420944,440394.596243
2035,444572.420944,440428.01884
