year,Base case diesel consumed,Modeled residential ashp
2017,54413.4429586,-150248.124075
2018,54413.4429586,-150248.124075
2019,54413.4429586,-150248.124075
2020,54758.7963902,-149902.770643
2021,54758.7963902,-149902.770643
2022,54758.7963902,-149902.770643
2023,54758.7963902,-149902.770643
2024,54758.7963902,-149902.770643
2025,54758.7963902,-149902.770643
2026,54758.7963902,-149902.770643
2027,55104.1498219,-149557.417211
2028,55104.1498219,-149557.417211
2029,55104.1498219,-149557.417211
2030,55104.1498219,-149557.417211
2031,55449.5032535,-149212.06378
