year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,29805.22,2235200.04,1429291.03,21145.76,1920868.83,610037.44
2018,32197.45,2409719.29,1502969.19,22264.1,2018368.01,641001.63
2019,35502.44,2652107.15,1605299.97,23802.3,2153783.54,684007.45
2020,37059.25,2763605.56,1662859.48,24533.22,2216074.68,707474.89
2021,38242.55,2846017.43,1697872.76,25094.23,2262115.96,722173.43
2022,39058.23,2904190.51,1722588.03,25476.93,2294615.69,732548.86
2023,39555.71,2942972.57,1739064.87,25701.83,2316282.17,739465.82
2024,40006.04,2976906.87,1753482.1,25908.46,2335240.35,745518.16
2025,40523.63,3015688.93,1769958.95,26146.52,2356906.83,752435.12
2026,41248.14,3064166.5,1790555.0,26493.91,2383989.94,761081.31
2027,41880.54,3107796.31,1820501.05,26793.64,2408364.73,772867.38
2028,42434.3,3141730.61,1835009.21,27066.08,2427322.91,778951.24
2029,43068.87,3185360.42,1853662.56,27366.64,2451697.7,786773.35
2030,43489.11,3214446.97,1866098.13,27565.12,2467947.57,791988.09
2031,44180.54,3262924.54,1898649.34,27890.06,2495030.67,804827.91
