year,Base case cost,Modeled solar power (pv)
2016,124902.021309,132738.567024
2017,149154.020787,156604.485796
2018,167292.17599,174463.601677
2019,192344.388197,199130.425354
2020,204303.774729,210931.012891
2021,213264.905745,219790.727582
2022,219777.683053,226236.455214
2023,224571.919435,230997.205141
2024,228721.605193,235124.851177
2025,233569.814868,239941.046372
2026,240354.805304,246673.800223
2027,245273.414926,251562.08076
2028,249536.52282,255805.927591
2029,255486.100553,261716.32508
2030,259115.608925,265338.023881
2031,266130.572521,272305.24588
2032,272901.482967,279029.441777
2033,278711.043028,284803.22024
2034,286274.343988,292311.901479
2035,291397.895677,297421.023713
