year,Base case cost,Modeled water and wastewater efficiency
2017,54375.7104598,47501.8746919
2018,57244.8928651,49803.8581095
2019,61173.3644439,52955.794886
2020,63024.2970748,54440.2226738
2021,64362.6225032,55513.1200259
2022,65378.7343196,56327.5495943
2023,66080.9122973,56890.0359995
2024,66674.1651967,57365.1675852
2025,67384.1895486,57933.847136
2026,68360.1495408,58715.1653122
2027,69085.438158,59295.8903088
2028,69707.915737,59794.0807237
2029,70543.1785099,60463.0008223
2030,71064.8632044,60880.2508859
2031,72053.8931912,61671.9045983
