year,Base case cost,Modeled wind power,Eek wind feasibility
2019,192344.388197,,
2020,204303.774729,,
2021,213264.905745,,
2022,219777.683053,,
2023,224571.919435,,
2024,228721.605193,,
2025,233569.814868,,
2026,240354.805304,,
2027,245273.414926,,
2028,249536.52282,,
2029,255486.100553,,
2030,259115.608925,,
2031,266130.572521,,
2032,272901.482967,,
2033,278711.043028,,
2034,286274.343988,,
2035,291397.895677,,
2036,298030.352895,,
2037,302569.585025,,
2038,309609.579713,,
