year,Base case cost,Melanson lake (melanson creek),Myrtle creek (niblack lake),"Collinson creek (moira sound, unnamed stream)",Kegan creek,Triangle lake (annette island),Weigle (weigle creek),Paul lake (tunnel creek),Tamgas lake  (tamgas creek),Triangle lake hydroelectric project
2021,340487.95,510562.880479,3651431.30562,1036766.80153,3460736.39382,5031895.33864,2222705.21139,1082902.36463,582046.460776,
2022,399142.716667,551961.483742,3621565.70988,1081025.24468,3434989.21993,4974267.66997,2223059.79182,1112737.72314,621579.496463,
2023,441047.025,580491.297461,3583083.66219,1109098.46165,3400424.99368,4908926.56353,2213465.18557,1130095.21005,648407.371241,
2024,455193.0,581455.345544,3518516.66465,1109729.59059,3339687.61216,4818121.24288,2177130.29119,1120144.61381,647705.200707,
2025,475971.475,589239.948105,3462216.33144,1117302.05298,3287130.75681,4736188.77397,2148422.08203,1117266.21522,653858.467798,
2026,510203.8,609188.25581,3418397.52696,1138533.40171,3247015.42215,4667222.86128,2131835.08943,1126746.44663,672158.685194,
2027,575779.2,661395.877027,3408764.34942,1191450.63118,3240981.51111,4633074.15672,2148691.05885,1168751.38725,722776.893445,
2028,651441.841667,724602.775189,3412024.44004,1254791.00528,3247738.59023,4612436.75255,2177711.93578,1222015.376,784452.276308,
2029,481436.666667,540839.09936,3168534.79234,1072647.88616,3007711.70009,4345493.98165,1959665.68442,1028486.83837,599137.990793,
2030,354479.625,403238.166363,2974681.07675,934020.317142,2817156.01359,4128939.45016,1790157.61492,881446.188436,460119.071383,
2031,291990.541667,326583.823435,2840292.26894,859887.179714,2686100.80001,3972108.22914,1680221.02832,795443.343114,381949.947317,
2032,412096.2,433420.406353,2891166.48568,968658.655363,2740213.59354,4001106.96939,1754873.04942,893169.98384,487326.706465,
2033,587820.45,595294.240054,2997726.95072,1133255.90431,2849963.43916,4086239.90821,1884814.27421,1046116.61948,647744.160851,
2034,757134.7,750909.982922,3099197.48291,1291692.62688,2954553.77013,4166772.58839,2009148.59527,1193008.44,801931.702781,
2035,861150.675,843586.48721,3140511.14471,1385219.53912,2998853.11288,4187787.02399,2072424.19075,1277235.76391,893283.754678,
2036,873684.35,841977.979804,3086465.05137,1387308.95038,2947814.56454,4113694.78947,2040376.34387,1267270.29411,890276.027058,
2037,785580.9,743558.303293,2939431.70299,1289234.97401,2803613.67997,3947338.72541,1914198.10699,1160810.0215,790610.42451,
2038,725409.575,669524.432893,2815110.61197,1219078.6206,2682172.04652,3803872.89389,1810923.61352,1078793.38211,715229.205134,
2039,752946.641667,685544.564283,2783522.64478,1236997.07413,2653335.56898,3753735.53279,1799526.08051,1087087.52024,730003.245585,
2040,853783.65,772785.709859,2822527.318,1328287.01501,2695097.54606,3774455.10822,1858669.78812,1166702.75548,815946.510455,
2041,945913.65,859554.373948,2868068.13852,1411612.33319,2743094.12067,3802713.83895,1922456.08153,1246297.20269,901720.674089,
2042,991563.65,899968.694348,2868220.89294,1448664.0111,2745645.07243,3785989.55256,1940426.68057,1279705.45193,941163.802637,
2043,950893.65,854185.725941,2783119.98863,1399597.2121,2662886.15774,3684407.16294,1872726.01531,1227080.61709,894432.404679,
2044,871213.65,769512.592765,2660050.43394,1311717.21314,2542103.70227,3545242.40785,1766648.88146,1135725.97376,808833.070776,
2045,827223.65,720646.486155,2573687.822,1259719.40167,2457974.58566,3443161.8268,1696880.43046,1080334.95491,759062.471269,
2046,829713.65,718374.66329,2534798.31813,1254389.27327,2421266.22957,3388922.7437,1674196.1619,1071691.14743,755907.35456,
2047,843408.65,727419.445667,2508083.64653,1260447.42916,2396681.58509,3347218.2487,1663306.91534,1074513.2886,764089.545295,
2048,847558.65,727028.21748,2472771.07627,1257139.57352,2363449.11946,3297267.1789,1643448.86186,1068045.26232,762855.94245,
2049,821828.65,696863.424344,2408503.41013,1224126.51139,2301212.80549,3218704.1031,1594273.49722,1031946.09605,731868.517815,
2050,784478.65,655182.571675,2333518.97057,1179664.14605,2228212.10829,3129759.30255,1534027.63332,984469.957134,689384.314075,
2051,784478.65,650953.223372,2296766.58824,1172718.47677,2193396.97435,3079373.75522,1511668.39127,974581.149609,684370.443241,
2052,784478.65,646823.000403,2260875.58973,1165935.59659,2159397.81997,3030169.11895,1489833.19386,964924.11097,679474.084985,
2053,784478.65,642789.579567,2225825.78678,1159311.69021,2126195.52105,2982117.71673,1468509.75906,955493.409252,674692.485164,
2054,784478.65,638850.692006,2191597.46335,1152843.0316,2093771.40078,2935192.51894,1447686.09213,946283.739543,670022.954058,
2055,784478.65,635004.122124,2158171.36628,1146525.98218,2062107.22086,2889367.13049,1427350.47991,937289.921474,665462.86509,
2056,784478.65,631247.706226,2125528.69337,1140356.98861,2031185.17017,2844615.77462,1407491.4836,928506.89602,661009.65321,
2057,784478.65,627579.331314,2093651.08301,1134332.58081,2000987.85494,2800913.27851,1388097.93247,919929.722698,656660.813469,
