year,Base case cost,Modeled solar power
2020,250482.666667,257005.025264
2021,340487.95,346667.997218
2022,399142.716667,405010.292229
2023,441047.025,446664.780158
2024,455193.0,460566.722933
2025,475971.475,481106.828418
2026,510203.8,515084.523369
2027,575779.2,580421.87525
2028,651441.841667,655862.669718
2029,481436.666667,485619.551944
2030,354479.625,358472.204312
2031,291990.541667,295745.084032
2032,412096.2,415628.452285
2033,587820.45,591125.190214
2034,757134.7,760217.06879
2035,861150.675,864046.127109
2036,873684.35,876357.093225
2037,785580.9,788085.818549
2038,725409.575,727701.267289
2039,752946.641667,755059.360156
