year,Base case diesel consumed,Melanson lake (melanson creek),Myrtle creek (niblack lake),"Collinson creek (moira sound, unnamed stream)",Kegan creek,Triangle lake (annette island),Weigle (weigle creek),Paul lake (tunnel creek),Tamgas lake  (tamgas creek),Triangle lake hydroelectric project
2021,101942.5,31450.9742838,0.0,97324.0896926,0.0,0.0,0.0,29020.2319825,29020.2319825,0.0
2022,115359.166667,44867.6409504,13416.6666667,110740.756359,13416.6666667,13416.6666667,13416.6666667,42436.8986492,42436.8986492,13416.6666667
2023,124942.5,54450.9742838,23000.0,120324.089693,23000.0,23000.0,23000.0,52020.2319825,52020.2319825,23000.0
2024,126442.5,55950.9742838,24500.0,121824.089693,24500.0,24500.0,24500.0,53520.2319825,53520.2319825,24500.0
2025,129692.5,59200.9742838,27750.0,125074.089693,27750.0,27750.0,27750.0,56770.2319825,56770.2319825,27750.0
2026,135692.5,65200.9742838,33750.0,131074.089693,33750.0,33750.0,33750.0,62770.2319825,62770.2319825,33750.0
2027,149942.5,79450.9742838,48000.0,145324.089693,48000.0,48000.0,48000.0,77020.2319825,77020.2319825,48000.0
2028,166609.166667,96117.6409504,64666.6666667,161990.756359,64666.6666667,64666.6666667,64666.6666667,93686.8986492,93686.8986492,64666.6666667
2029,120359.166667,49867.6409504,18416.6666667,115740.756359,18416.6666667,18416.6666667,18416.6666667,47436.8986492,47436.8986492,18416.6666667
2030,87525.8333333,17034.3076171,-14416.6666667,82907.423026,-14416.6666667,-14416.6666667,-14416.6666667,14603.5653158,14603.5653158,-14416.6666667
2031,70359.1666667,-132.359049583,-31583.3333333,65740.7563593,-31583.3333333,-31583.3333333,-31583.3333333,-2563.10135083,-2563.10135083,-31583.3333333
2032,97192.5,26700.9742838,-4750.0,92574.0896926,-4750.0,-4750.0,-4750.0,24270.2319825,24270.2319825,-4750.0
2033,135442.5,64950.9742838,33500.0,130824.089693,33500.0,33500.0,33500.0,62520.2319825,62520.2319825,33500.0
2034,170525.833333,100034.307617,68583.3333333,165907.423026,68583.3333333,68583.3333333,68583.3333333,97603.5653158,97603.5653158,68583.3333333
2035,190942.5,120450.974284,89000.0,186324.089693,89000.0,89000.0,89000.0,118020.231982,118020.231982,89000.0
2036,189109.166667,118617.64095,87166.6666667,184490.756359,87166.6666667,87166.6666667,87166.6666667,116186.898649,116186.898649,87166.6666667
2037,167859.166667,97367.6409504,65916.6666667,163240.756359,65916.6666667,65916.6666667,65916.6666667,94936.8986492,94936.8986492,65916.6666667
2038,151442.5,80950.9742838,49500.0,146824.089693,49500.0,49500.0,49500.0,78520.2319825,78520.2319825,49500.0
2039,154609.166667,84117.6409504,52666.6666667,149990.756359,52666.6666667,52666.6666667,52666.6666667,81686.8986492,81686.8986492,52666.6666667
2040,171442.5,100950.974284,69500.0,166824.089693,69500.0,69500.0,69500.0,98520.2319825,98520.2319825,69500.0
2041,189942.5,119450.974284,88000.0,185324.089693,88000.0,88000.0,88000.0,117020.231982,117020.231982,88000.0
2042,199109.166667,128617.64095,97166.6666667,194490.756359,97166.6666667,97166.6666667,97166.6666667,126186.898649,126186.898649,97166.6666667
2043,190942.5,120450.974284,89000.0,186324.089693,89000.0,89000.0,89000.0,118020.231982,118020.231982,89000.0
2044,174942.5,104450.974284,73000.0,170324.089693,73000.0,73000.0,73000.0,102020.231982,102020.231982,73000.0
2045,166109.166667,95617.6409504,64166.6666667,161490.756359,64166.6666667,64166.6666667,64166.6666667,93186.8986492,93186.8986492,64166.6666667
2046,166609.166667,96117.6409504,64666.6666667,161990.756359,64666.6666667,64666.6666667,64666.6666667,93686.8986492,93686.8986492,64666.6666667
2047,169359.166667,98867.6409504,67416.6666667,164740.756359,67416.6666667,67416.6666667,67416.6666667,96436.8986492,96436.8986492,67416.6666667
2048,170192.5,99700.9742838,68250.0,165574.089693,68250.0,68250.0,68250.0,97270.2319825,97270.2319825,68250.0
2049,165025.833333,94534.3076171,63083.3333333,160407.423026,63083.3333333,63083.3333333,63083.3333333,92103.5653158,92103.5653158,63083.3333333
2050,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2051,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2052,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
