year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8245.28601542,5359.43591002
2018,8303.58582868,5397.33078864
2019,8335.98421095,5418.38973712
2020,8369.33270823,5440.06626035
2021,8408.75708309,5465.69210401
2022,8431.19545281,5480.27704433
2023,8447.19085507,5490.6740558
2024,8449.64441914,5492.26887244
2025,8455.1048813,5495.81817284
2026,8465.14047117,5502.34130626
2027,8488.82586686,5517.73681346
2028,8516.73549551,5535.87807208
2029,8439.48196731,5485.66327875
2030,8384.69919913,5450.05447943
2031,8356.06078908,5431.4395129
