year,Base case diesel consumed,Modeled solar power
2020,78275.8333333,77131.9875086
2021,101942.5,100807.804942
2022,115359.166667,114233.549169
2023,124942.5,123825.887442
2024,126442.5,125334.820343
2025,129692.5,128593.68178
2026,135692.5,134602.472326
2027,149942.5,148861.192547
2028,166609.166667,165536.509673
2029,120359.166667,119295.090929
2030,87525.8333333,86470.2702019
2031,70359.1666667,69312.0480403
2032,97192.5,96153.7583227
2033,135442.5,134412.068256
2034,170525.833333,169503.645043
2035,190942.5,189928.489216
2036,189109.166667,188103.267969
2037,167859.166667,166861.315159
2038,151442.5,150452.631304
2039,154609.166667,153627.216921
