year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5392.05554592,3504.83610485
2018,5393.06566394,3505.49268156
2019,5394.53688466,3506.44897503
2020,5396.13048666,3507.48481633
2021,5397.28517332,3508.23536266
2022,5399.0002119,3509.35013774
2023,5400.28462165,3510.18500407
2024,5401.85768282,3511.20749383
2025,5402.81176565,3511.82764767
2026,5403.81867163,3512.48213656
2027,5404.97335829,3513.23268289
2028,5406.02210172,3513.91436612
2029,5408.29800508,3515.3937033
2030,5410.24449924,3516.6589245
2031,5411.66027858,3517.57918108
