year,Base case diesel consumed,Suryan lake (chip creek),"Akhiok (unnamed stream, site #2) -- unnamed creek, 2","Akhiok (unnamed stream, site #1) -- unnamed creek, 1",Fraser lake (dog salmon creek),Akhiok (kempff bay creek)
2021,20317.3354814,0.0,0.0,0.0,0.0,0.0
2022,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2023,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2024,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2025,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2026,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2027,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2028,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2029,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2030,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2031,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2032,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2033,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2034,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2035,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2036,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2037,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2038,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2039,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2040,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2041,20664.6403615,347.304880025,347.304880025,347.304880025,347.304880025,347.304880025
2042,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2043,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2044,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2045,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2046,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2047,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2048,20490.9879214,173.652440012,173.652440012,173.652440012,173.652440012,173.652440012
2049,20317.3354814,0.0,0.0,0.0,0.0,0.0
2050,20317.3354814,0.0,0.0,0.0,0.0,0.0
