year,Base case cost,Modeled non-residential energy efficiency
2017,799018.405266,807790.484126
2018,836329.283618,841659.636705
2019,885579.643043,886366.918109
2020,909458.605188,908043.17576
2021,925875.391663,922945.602895
2022,937814.872735,933783.73172
2023,946769.48354,941912.328339
2024,952739.224076,947331.392752
2025,961693.834881,955459.989371
2026,972140.880819,964943.352093
2027,979603.05649,971717.182609
2028,987065.23216,978491.013125
2029,996019.842964,986619.609744
2030,1001989.5835,992038.674156
2031,1012436.62944,1001522.03688
