year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,96293.8861332,71257.4757386
2018,96293.8861332,71257.4757386
2019,96293.8861332,71257.4757386
2020,96293.8861332,71257.4757386
2021,96293.8861332,71257.4757386
2022,96293.8861332,71257.4757386
2023,96293.8861332,71257.4757386
2024,96293.8861332,71257.4757386
2025,96293.8861332,71257.4757386
2026,96293.8861332,71257.4757386
2027,96293.8861332,71257.4757386
2028,96293.8861332,71257.4757386
2029,96293.8861332,71257.4757386
2030,96293.8861332,71257.4757386
2031,96293.8861332,71257.4757386
