year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,95176.43,12879.79,96293.89,114834.54
2018,96282.27,12889.74,96293.89,117319.65
2019,97388.12,12899.97,96293.89,119804.76
2020,98567.69,12910.3,96293.89,122289.87
2021,99673.53,12920.61,96293.89,124774.98
2022,100853.1,12931.03,96293.89,127260.1
2023,102032.67,12941.53,96293.89,128502.65
2024,103212.24,12952.28,96293.89,130987.76
2025,104391.81,12963.13,96293.89,133472.87
2026,105645.1,12974.12,96293.89,135957.99
2027,106824.67,12985.01,96293.89,138443.1
2028,108077.96,12995.84,96293.89,140928.21
2029,109404.97,13007.99,96293.89,143413.32
2030,110731.99,13019.81,96293.89,147140.99
2031,111985.28,13031.2,96293.89,149626.1
2032,113091.13,,,150868.66
2033,114196.97,,,153353.77
2034,115229.09,,,155838.88
2035,116334.94,,,158323.99
2036,117440.78,,,159566.55
