year,Base case cost,Modeled biomass for heat (cordwood)
2017,306570.569332,332374.600384
2018,329702.755238,352106.581388
2019,361472.300191,379344.185696
2020,381442.154608,397028.932662
2021,391895.258514,405797.511616
2022,399609.980467,412191.001855
2023,404971.329967,416544.076906
2024,409351.517467,420050.942957
2025,420269.330883,429983.991791
2026,426709.92179,435309.969414
2027,432221.296243,439832.064114
2028,436661.108743,443426.010403
2029,448674.300066,454390.054264
2030,458443.335388,463417.199252
2031,465203.317795,469076.679641
2032,472133.092795,474889.17627
2033,478880.505295,480547.990216
2034,486022.452342,486556.92498
2035,490544.980342,490280.350074
2036,497962.449248,496543.974538
