year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,69126.0,60006.5369466
2018,69128.0,60008.5369466
2019,69129.0,60009.5369466
2020,70080.0,60960.5369466
2021,70082.0,60962.5369466
2022,70083.0,60963.5369466
2023,70083.0,60963.5369466
2024,70083.0,60963.5369466
2025,71034.0,61914.5369466
2026,71036.0,61916.5369466
2027,71037.0,61917.5369466
2028,71037.0,61917.5369466
2029,71990.0,62870.5369466
2030,72943.0,63823.5369466
2031,72945.0,63825.5369466
2032,72945.0,63825.5369466
2033,72945.0,63825.5369466
2034,72944.0,63824.5369466
2035,72944.0,63824.5369466
2036,72946.0,63826.5369466
