year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6993.87428514,4546.01828534
2018,6995.70634058,4547.20912138
2019,6997.37586098,4548.29430964
2020,6999.32574765,4549.56173597
2021,7000.86929672,4550.56504287
2022,7001.73348137,4551.12676289
2023,7001.8350324,4551.19277106
2024,7002.3171663,4551.5061581
2025,7003.15479555,4552.05061711
2026,7004.58598461,4552.98089
2027,7005.6471329,4553.67063638
2028,7006.41070062,4554.1669554
2029,7010.21586201,4556.64031031
2030,7013.23597117,4558.60338126
2031,7015.41631597,4560.02060538
