year,annotation,Average Load
2003,,475.0
2004,,509.0
2005,,495.0
2006,,539.0
2007,,599.0
2008,,658.0
2009,,547.0
2010,,605.0
2011,,669.0
2012,,776.0
2013,,748.0
2014,start of forecast,734.0
2015,,734.0
2016,,733.0
2017,,733.0
2018,,732.0
2019,,732.0
2020,,731.0
2021,,731.0
2022,,731.0
2023,,730.0
2024,,730.0
2025,,730.0
2026,,730.0
2027,,729.0
2028,,729.0
2029,,728.0
2030,,727.0
2031,,727.0
2032,,727.0
2033,,727.0
2034,,727.0
2035,,727.0
2036,,727.0
2037,,726.0
2038,,726.0
2039,,725.0
2040,,725.0
