year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,1.64,
2005,,2.49,3.5
2006,,3.25,5.11
2008,,3.06,5.85
2009,,3.65,7.79
2010,,3.0,5.03
2011,,3.08,6.38
2012,,3.49,6.56
2013,,3.54,6.28
2014,,,5.48
2016,start of forecast,4.24,6.44
2017,,4.89,7.09
2018,,5.36,7.56
2019,,5.99,8.19
2020,,6.27,8.47
2021,,6.47,8.67
2022,,6.62,8.82
2023,,6.73,8.93
2024,,6.81,9.01
2025,,6.91,9.11
2026,,7.03,9.23
2027,,7.13,9.33
2028,,7.22,9.42
2029,,7.33,9.53
2030,,7.4,9.6
2031,,7.52,9.72
2032,,7.64,9.84
2033,,7.77,9.97
2034,,7.9,10.1
2035,,7.98,10.18
2036,,8.11,10.31
2037,,8.19,10.39
2038,,8.32,10.52
2039,,8.42,10.62
2040,,8.56,10.76
