year,Base case cost,Modeled residential energy efficiency
2017,1480662.97558,1437436.30461
2018,1596375.70204,1535776.85213
2019,1756914.65087,1674629.38253
2020,1858904.57284,1764696.3129
2021,1948501.56979,1844677.22597
2022,2030352.9886,1918388.92547
2023,2119140.9683,2000235.22142
2024,2189530.00917,2064602.33723
2025,2278676.12632,2147263.74315
2026,2359694.7044,2221332.72928
2027,2451418.19056,2306744.01704
2028,2528034.27182,2377407.21562
2029,2624515.69803,2467464.88442
2030,2712661.44545,2550370.57426
2031,2814222.98284,2645389.17359
