year,Base case diesel consumed,Modeled residential ashp
2017,17787.4517397,-83244.150654
2018,18224.2691865,-82807.3332071
2019,18806.692449,-82224.9099447
2020,19389.1157114,-81642.4866822
2021,19971.5389739,-81060.0634198
2022,20553.9622363,-80477.6401573
2023,21281.9913144,-79749.6110793
2024,21864.4145768,-79167.1878168
2025,22592.4436549,-78439.1587388
2026,23174.8669173,-77856.7354763
2027,23902.8959954,-77128.7063982
2028,24485.3192579,-76546.2831358
2029,25213.3483359,-75818.2540577
2030,25941.377414,-75090.2249796
2031,26669.4064921,-74362.1959016
