year,Base case cost,Modeled transmission and interties
2021,2268047.26132,
2022,2354247.04841,
2023,2428577.74527,
2024,2494124.73061,
2025,2567966.07564,
2026,2651506.74333,
2027,2728722.7694,
2028,2804275.307,
2029,2889862.63488,
2030,2960732.47554,
2031,3053875.51882,
2032,3148458.91844,
2033,3249859.3892,
2034,3354075.94127,
2035,3438389.10776,
2036,3546819.00989,
2037,3635999.5344,
2038,3750047.74955,
2039,3853427.17144,
2040,3976774.61027,
