year,Base case cost,Modeled non-residential energy efficiency
2017,884355.975175,971617.31112
2018,965836.916653,1049821.19653
2019,1076075.83748,1156859.86716
2020,1128798.79961,1206457.58499
2021,1163947.44103,1238554.22998
2022,1191107.75486,1262734.07853
2023,1210279.74109,1278995.45429
2024,1224658.73076,1290532.05076
2025,1243830.71699,1306928.2624
2026,1266198.03426,1326584.8624
2027,1285370.02049,1343109.66376
2028,1301346.67568,1356501.17734
2029,1322116.32743,1374746.27692
2030,1334897.65158,1385062.21795
2031,1357264.96885,1405021.93464
