year,Base case cost,Modeled wind power
2019,7227936.36476,7069372.23975
2020,7721227.98192,7406218.74634
2021,8019331.68308,7605515.00926
2022,8247715.92328,7751559.71758
2023,8351614.43346,7806054.50864
2024,8448595.07634,7853631.4324
2025,8533848.17731,7889480.81424
2026,8666845.99839,7956607.00983
2027,8780053.44273,8012176.78186
2028,8859944.86053,8042664.48053
2029,8911551.02934,8036632.97703
2030,8908736.53448,7992648.71624
2031,8991280.77295,8009321.32921
2032,9118480.10409,8070649.03485
2033,9269355.95225,8147419.30432
2034,9414465.95097,8218423.72435
2035,9476431.97072,8230986.02498
2036,9586786.55033,8267235.0259
2037,9581872.5029,8221151.21254
2038,9687881.0951,8253054.22605
