year,Base case cost,Modeled solar power (pv)
2016,4462233.68845,4742402.19579
2017,5475230.47295,5740954.05882
2018,6220286.23343,6475513.15401
2019,7227936.36476,7468747.23509
2020,7721227.98192,7955166.77918
2021,8019331.68308,8249334.16737
2022,8247715.92328,8474651.25328
2023,8351614.43346,8577124.33573
2024,8448595.07634,8672709.97704
2025,8533848.17731,8756598.10702
2026,8666845.99839,8887486.85293
2027,8780053.44273,8999010.6313
2028,8859944.86053,9077634.05054
2029,8911551.02934,9127622.97777
2030,8908736.53448,9123974.60757
2031,8991280.77295,9204591.69969
2032,9118480.10409,9329903.08677
2033,9269355.95225,9478563.96923
2034,9414465.95097,9621503.05382
2035,9476431.97072,9682421.3237
