year,Base case diesel consumed,Modeled diesel efficiency
2019,2812426.60107,2556751.45552
2020,2797546.37026,2543223.97296
2021,2784490.16774,2531354.69794
2022,2767689.90714,2516081.73376
2023,2747241.58995,2497492.3545
2024,2725353.25043,2477593.86403
2025,2700584.86624,2455077.15112
2026,2674952.46864,2431774.97149
2027,2652584.12167,2411440.11061
2028,2629063.75683,2390057.96076
2029,2590567.15969,2355061.05427
2030,2552646.57149,2320587.79226
2031,2518566.04284,2289605.49349
2032,2498213.72715,2271103.38832
2033,2478437.42039,2253124.92762
2034,2458085.10469,2234622.82245
2035,2436100.76368,2214637.05789
2036,2408740.33928,2189763.9448
2037,2377635.8568,2161487.14254
2038,2351427.45027,2137661.31842
