year,Base case cost,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2031,8991280.77295,10538062.5219,10098784.5619,9100238.57761,9404612.45797,27715433.0398,11595694.0296,96670330.6384,2020678862.2,107991374.151,12280461.5725,25276543.7797,9463776.24248,9494567.96344,9074797.86114,9199862.06107,12314838.9366
2032,9118480.10409,10593872.3696,10199404.0362,9191874.81256,9491553.33613,27606949.4626,11666044.8,96559165.5998,2020234958.33,107847350.413,12340584.3781,25168395.2629,9580588.11541,9621015.03448,9198204.54761,9297597.87166,12207356.6674
2033,9269355.95225,10664435.0489,10320377.5454,9302742.1775,9597138.42469,27492682.0389,11752966.0174,96441881.532,2019743343.08,107693100.308,12415999.1351,25054504.7822,9719778.07309,9771044.59003,9344813.67051,9415327.25919,12094215.7151
2034,9414465.95097,10729231.8788,10435585.2052,9407843.693,9696957.66381,27372648.7658,11834121.3853,96318831.6147,2019245961.98,107533084.354,12485648.0426,24934848.452,9853202.18133,9915308.29614,9485656.94398,9527290.79729,11975308.9134
2035,9476431.97072,10737655.786,10477616.3323,9443137.39061,9728729.84383,27257852.6043,11853450.9845,96202024.3572,2018879600.6,107391633.071,12497306.6682,24820303.5858,9907377.60743,9976710.12081,9544778.48023,9567159.17663,11861263.7329
2036,9586786.55033,10767697.1968,10558068.573,9513483.487,9793793.66384,27103063.912,11899850.9333,96044219.0208,2018347464.09,107196861.698,12532200.1566,24665891.8366,10006046.2966,10086218.4078,9650866.33459,9644367.29561,11707601.5121
2037,9581872.5029,10718164.7222,10536542.115,9486342.50446,9763718.0833,26950848.0468,11859406.5354,95890327.2423,2017985610.54,107022433.232,12485363.2807,24513885.3842,9994640.08776,10080834.1978,9643581.88425,9621038.54784,11556011.4645
2038,9687881.0951,10743860.1456,10612648.3683,9552342.61344,9824435.9159,26791713.3672,11901460.4968,95728175.9185,2017449128.03,106823315.871,12515910.7817,24355127.6475,10088962.7895,10185996.4974,9745323.7512,9693900.67942,11398003.2563
2039,9759964.38154,10753477.634,10661474.28,9593308.19072,9861293.05599,26657574.1088,11923801.2926,95591690.3815,2017021496.02,106658078.972,12529302.1084,24221281.567,10151957.05,10257421.5563,9814088.47355,9740203.38538,11264740.1424
2040,9905587.65798,10809864.0562,10773872.7354,9694477.59692,9956593.26621,26508593.7498,11998363.8682,95439358.1957,2016453240.3,106464673.412,12591079.7279,24072720.0336,10284596.0037,10402104.5076,9954970.94416,9848997.26113,11117011.4184
2041,9818688.07004,10722964.4682,10686973.1474,9607578.00898,9869693.67826,26421694.1619,11911464.2802,95352458.6078,2016366340.71,106377773.824,12504180.14,23985820.4457,10197696.4157,10315204.9196,9868071.35622,9762097.67318,11030111.8305
2042,9727258.17182,10631534.57,10595543.2492,9516148.11076,9778263.78004,26330264.2637,11820034.382,95261028.7096,2016274910.81,106286343.926,12412750.2417,23894390.5474,10106266.5175,10223775.0214,9776641.458,9670667.77496,10938681.9322
2043,9635004.58082,10539280.979,10503289.6582,9423894.51976,9686010.18905,26238010.6727,11727780.791,95168775.1186,2016182657.22,106194090.335,12320496.6507,23802136.9564,10014012.9265,10131521.4304,9684387.867,9578414.18397,10846428.3412
2044,9547693.14649,10451969.5447,10415978.2239,9336583.08543,9598698.75471,26150699.2383,11640469.3567,95081463.6842,2016095345.79,106106778.9,12233185.2164,23714825.5221,9926701.49218,10044209.9961,9597076.43267,9491102.74963,10759116.9069
2045,9461205.40493,10365481.8031,10329490.4823,9250095.34387,9512211.01315,26064211.4968,11553981.6151,94994975.9427,2016008858.05,106020291.159,12146697.4749,23628337.7806,9840213.75062,9957722.25453,9510588.69111,9404615.00807,10672629.1654
2046,9383778.28391,10288054.6821,10252063.3613,9172668.22285,9434783.89214,25986784.3758,11476554.4941,94917548.8217,2015931430.93,105942864.038,12069270.3538,23550910.6595,9762786.62961,9880295.13351,9433161.57009,9327187.88706,10595202.0443
2047,9313764.39789,10218040.7961,10182049.4753,9102654.33683,9364770.00612,25916770.4897,11406540.6081,94847534.9356,2015861417.04,105872850.152,11999256.4678,23480896.7735,9692772.74358,9810281.24749,9363147.68407,9257174.00104,10525188.1583
2048,9243750.51187,10148026.9101,10112035.5892,9032640.45081,9294756.12009,25846756.6037,11336526.722,94777521.0496,2015791403.15,105802836.266,11929242.5818,23410882.8875,9622758.85756,9740267.36147,9293133.79805,9187160.11501,10455174.2723
2049,9172501.08668,10076777.4849,10040786.1641,8961391.02562,9223506.69491,25775507.1785,11265277.2969,94706271.6244,2015720153.73,105731586.841,11857993.1566,23339633.4623,9551509.43237,9669017.93628,9221884.37286,9115910.68982,10383924.8471
2050,9103310.89343,10007587.2916,9971595.97081,8892200.83237,9154316.50166,25706316.9853,11196087.1036,94637081.4312,2015650963.54,105662396.647,11788802.9634,23270443.2691,9482319.23913,9599827.74303,9152694.17961,9046720.49658,10314734.6539
