year,Base case diesel consumed,Modeled solar power (pv)
2016,2842187.06271,2800264.25834
2017,2836906.9808,2795319.55887
2018,2827402.83338,2786148.11082
2019,2812426.60107,2771501.9163
2020,2797546.37026,2756949.08296
2021,2784490.16774,2744217.65874
2022,2767689.90714,2727739.57821
2023,2747241.58995,2707610.86366
2024,2725353.25043,2686039.56995
2025,2700584.86624,2661585.6952
2026,2674952.46864,2636265.29097
2027,2652584.12167,2614206.44142
2028,2629063.75683,2590993.09802
2029,2590567.15969,2552801.06615
2030,2552646.57149,2515182.6067
2031,2518566.04284,2481401.78977
2032,2498213.72715,2461346.7881
2033,2478437.42039,2441865.41685
2034,2458085.10469,2421805.67718
2035,2436100.76368,2400111.57159
