year,annotation,Average Load
2003,,8639.0
2004,,8787.0
2005,,8831.0
2006,,8653.0
2007,,8580.0
2008,,8294.0
2009,,7412.0
2010,,8704.0
2011,,9180.0
2012,,9506.0
2013,,9514.0
2014,,9256.0
2015,start of forecast,9465.0
2016,,9459.0
2017,,9453.0
2018,,9443.0
2019,,9426.0
2020,,9410.0
2021,,9396.0
2022,,9377.0
2023,,9355.0
2024,,9331.0
2025,,9304.0
2026,,9275.0
2027,,9251.0
2028,,9225.0
2029,,9183.0
2030,,9141.0
2031,,9104.0
2032,,9081.0
2033,,9060.0
2034,,9037.0
2035,,9013.0
2036,,8983.0
2037,,8949.0
2038,,8920.0
2039,,8896.0
2040,,8873.0
