year,Base case diesel consumed,Modeled residential ashp
2017,5621.86808614,-29552.5279494
2018,5794.64467336,-29379.7513622
2019,5967.42126058,-29206.974775
2020,5967.42126058,-29206.974775
2021,6140.1978478,-29034.1981878
2022,6312.97443502,-28861.4216006
2023,6485.75102224,-28688.6450133
2024,6485.75102224,-28688.6450133
2025,6658.52760947,-28515.8684261
2026,6831.30419669,-28343.0918389
2027,6831.30419669,-28343.0918389
2028,7004.08078391,-28170.3152517
2029,7176.85737113,-27997.5386645
2030,7349.63395835,-27824.7620772
2031,7349.63395835,-27824.7620772
