year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2035.94464205,360.174547677
2018,2039.37509213,360.781421155
2019,2042.52237361,361.338199891
2020,2045.58958857,361.880814232
2021,2049.23048016,362.52491646
2022,2053.81949279,363.336748724
2023,2056.51199643,363.8130737
2024,2059.25654332,364.298605532
2025,2061.97293347,364.779156219
2026,2065.10473543,365.333196505
2027,2067.94883169,365.836339401
2028,2071.53914792,366.471494453
2029,2074.38751439,366.975392783
2030,2077.22347055,367.477095632
2031,2080.6130867,368.076745269
