year,Base case cost,Chuathbaluk (mission creek)
2021,140249.378762,1338271.3569
2022,145195.110366,1316540.9882
2023,148605.011832,1294404.39195
2024,151297.794167,1272482.80088
2025,154374.235237,1251311.96883
2026,158718.78197,1231579.49508
2027,162212.347335,1211705.47993
2028,165503.924144,1192510.5323
2029,169042.907053,1173696.28743
2030,171845.647655,1155003.08246
2031,176353.936589,1137941.57168
2032,180339.923757,1120824.50269
2033,184923.5102,1104760.83673
2034,189936.172922,1089387.43573
2035,192847.676592,1073083.29804
2036,197934.441625,1058643.18888
2037,200886.582046,1043218.7405
2038,205421.165348,1029045.83693
2039,209829.057604,1015509.4562
2040,215465.613971,1003036.02179
2041,216114.606784,987975.324259
2042,217412.59241,973931.815037
2043,218061.585223,959598.880102
2044,219359.57085,946266.076779
2045,220008.563663,932627.190024
2046,221306.549289,919972.167654
2047,221955.542102,906995.176625
2048,223253.527729,894986.537056
2049,223902.520542,882640.778503
2050,225200.506168,871248.577617
