year,Base case cost,"Port lions (unnamed stream, site #3) -- unnamed creek, 3","Port lions (unnamed stream, site #2) -- unnamed creek, 2","Uganik bay (one mile, 1/2 mile creek, ne arm uganik bay) -- 0",Cape chiniak (west fork twin creek),"Port lions (unnamed stream, site #1) -- unnamed creek, 1",Port lions (mennonite creek),"Port lions (crescent lake, port lions river)","Kodiak (unnamed stream, site #5) -- unnamed creek","Kodiak (unnamed stream, site #4) -- unnamed creek",Kodiak (leanne lake),Kodiak (virginia creek),"Monashka bay, upper -- monashka creek","Monashka bay, lower -- monashka creek",Cape chiniak (myrtle creek),"Pillar creek, 1"
2021,0.0,252482.697202,746505.766467,723271.006822,346920.382687,144507.862158,167384.373065,573163.958796,783417.4481,658553.882496,3742249.1183,435902.839941,177729.092845,147892.020246,660455.354155,108928.563068
2022,0.0,252293.981446,746055.54459,723203.608337,346807.153233,144443.159613,166736.569939,572590.190312,782171.924105,657708.7055,3739345.79896,435741.083578,177702.133451,147865.060852,660134.537369,108884.080068
2023,0.0,252152.444628,745717.878182,723153.059474,346722.231142,144394.632704,166250.717594,572159.863949,781237.781109,657074.822752,3737168.30946,435619.766306,177681.913906,147844.841307,659893.924779,108850.717818
2024,0.0,252042.360437,745455.248754,723113.743691,346656.180628,144356.889553,165872.832437,571825.165667,780511.225445,656581.802838,3735474.70651,435525.408427,177666.187593,147829.114994,659706.781653,108824.769401
2025,0.0,251916.549932,745155.100836,723068.811368,346580.694325,144313.754522,165440.963685,571442.653345,779680.876116,656018.351507,3733539.16029,435417.570852,177648.214664,147811.142064,659492.903796,108795.114068
2026,0.0,251743.560488,744742.397448,723007.029424,346476.900659,144254.443856,164847.144153,570916.698902,778539.145787,655243.605927,3730877.78423,435269.294186,177623.501886,147786.429287,659198.821741,108754.337985
2027,0.0,251602.023671,744404.731041,722956.480561,346391.978568,144205.916947,164361.291808,570486.372539,777605.002791,654609.723179,3728700.29473,435147.976914,177603.282341,147766.209741,658958.209151,108720.975735
2028,0.0,251491.939479,744142.101612,722917.164778,346325.928053,144168.173796,163983.40665,570151.674257,776878.447127,654116.703265,3727006.69179,435053.619035,177587.556028,147750.483428,658771.066026,108695.027319
2029,0.0,251334.676349,743766.916715,722860.999374,346231.570175,144114.255008,163443.570712,569673.533854,775840.510465,653412.389101,3724587.25901,434918.822066,177565.089866,147728.017267,658503.718704,108657.958152
2030,0.0,251256.044783,743579.324266,722832.916672,346184.391236,144087.295614,163173.652742,569434.463652,775321.542134,653060.232019,3723377.54262,434851.423582,177553.856785,147716.784186,658370.045043,108639.423569
2031,0.0,251083.05534,743166.620879,722771.134728,346080.597569,144027.984948,162579.833209,568908.509209,774179.811805,652285.486439,3720716.16656,434703.146915,177529.144008,147692.071408,658075.962988,108598.647486
2032,0.0,250910.065896,742753.917491,722709.352784,345976.803903,143968.674281,161986.013677,568382.554766,773038.081477,651510.740859,3718054.7905,434554.870249,177504.43123,147667.358631,657781.880934,108557.871402
2033,0.0,250737.076452,742341.214104,722647.57084,345873.010237,143909.363615,161392.194144,567856.600322,771896.351148,650735.995278,3715393.41444,434406.593583,177479.718452,147642.645853,657487.79888,108517.095319
2034,0.0,250548.360695,741890.992227,722580.172355,345759.780783,143844.66107,160744.391017,567282.831839,770650.827153,649890.818282,3712490.09511,434244.83722,177452.759058,147615.686459,657166.982093,108472.612319
2035,0.0,250438.276504,741628.362799,722540.856572,345693.730268,143806.917918,160366.50586,566948.133556,769924.27149,649397.798367,3710796.49216,434150.479342,177437.032745,147599.960146,656979.838968,108446.663903
2036,0.0,250249.560747,741178.140922,722473.458088,345580.500814,143742.215373,159718.702733,566374.365073,768678.747495,648552.621371,3707893.17283,433988.722979,177410.073352,147573.000752,656659.022181,108402.180903
2037,0.0,250139.476556,740915.511493,722434.142305,345514.450299,143704.472222,159340.817576,566039.666791,767952.191831,648059.601456,3706199.56988,433894.365101,177394.347039,147557.274439,656471.879056,108376.232487
2038,0.0,249966.487112,740502.808106,722372.360361,345410.656633,143645.161555,158746.998043,565513.712347,766810.461503,647284.855876,3703538.19383,433746.088435,177369.634261,147532.561661,656177.797001,108335.456403
2039,0.0,249809.223981,740127.623208,722316.194957,345316.298754,143591.242768,158207.162104,565035.571944,765772.52484,646580.541712,3701118.76105,433611.291466,177347.168099,147510.0955,655910.449679,108298.387237
2040,0.0,249604.781911,739639.882842,722243.179932,345193.633512,143521.148344,157505.375384,564413.98942,764423.207179,645664.933299,3697973.49843,433436.055406,177317.962089,147480.88949,655562.898161,108250.19732
2041,0.0,249604.781911,739639.882842,722243.179932,345193.633512,143521.148344,157505.375384,564413.98942,764423.207179,645664.933299,3697973.49843,433436.055406,177317.962089,147480.88949,655562.898161,108250.19732
2042,0.0,249604.781911,739639.882842,722243.179932,345193.633512,143521.148344,157505.375384,564413.98942,764423.207179,645664.933299,3697973.49843,433436.055406,177317.962089,147480.88949,655562.898161,108250.19732
2043,0.0,249604.781911,739639.882842,722243.179932,345193.633512,143521.148344,157505.375384,564413.98942,764423.207179,645664.933299,3697973.49843,433436.055406,177317.962089,147480.88949,655562.898161,108250.19732
