year,population
2003,9105.0
2004,8755.0
2005,8843.0
2006,8265.0
2007,8426.0
2008,8419.0
2009,8582.0
2010,8391.0
2011,8419.0
2012,8419.0
2013,8406.0
2014,8394.0
2015,8377.0
2016,8365.0
2017,8361.0
2018,8351.0
2019,8366.0
2020,8358.0
2021,8363.0
2022,8356.0
2023,8332.0
2024,8313.0
2025,8304.0
2026,8276.0
2027,8251.0
2028,8223.0
2029,8241.0
2030,8249.0
2031,8235.0
2032,8181.0
2033,8116.0
2034,8041.0
2035,7962.0
2036,7912.0
2037,7867.0
2038,7809.0
2039,7724.0
2040,7643.0
