year,Base case cost,Modeled diesel efficiency
2019,424601.851077,595904.66628
2020,445394.209763,609887.209384
2021,460714.895111,619010.807066
2022,471976.92979,624557.323062
2023,478547.374288,625948.718955
2024,485445.379771,627745.281737
2025,493116.07426,630349.156703
2026,501882.582247,634051.635701
2027,509553.276735,636857.930098
2028,516128.157725,638765.695751
2029,524152.292735,642086.341884
2030,529635.057303,643189.792175
2031,538407.480613,647374.799657
2032,548276.456836,652645.499715
2033,557048.880145,657006.077815
2034,567300.134086,662795.75892
2035,574657.316481,666037.191689
2036,583054.856225,670305.191022
2037,590040.112716,673368.190006
2038,600332.773915,679514.965195
