year,Base case cost,"New stuyahok wind-feasibility analysis, resources assessment & conceptual design",Modeled wind power
2019,424601.851077,613228.15921,599219.507826
2020,445394.209763,623781.501525,609355.363454
2021,460714.895111,630193.13752,615480.510046
2022,471976.92979,633633.651471,618738.967619
2023,478547.374288,633467.050642,618494.790727
2024,485445.379771,633752.256798,618700.496603
2025,493116.07426,634692.174525,619532.422251
2026,501882.582247,636607.08471,621310.892597
2027,509553.276735,637781.206444,622373.395103
2028,516128.157725,638211.8275,622717.259548
2029,524152.292735,639962.744055,624353.097756
2030,529635.057303,639758.679861,624085.511585
2031,538407.480613,642231.580122,626413.42195
2032,548276.456836,645664.495653,629673.14323
2033,557048.880145,648340.535217,632201.046853
2034,567300.134086,652354.106887,636038.351958
2035,574657.316481,654287.257894,637873.592078
2036,583054.856225,656875.615406,640309.36572
2037,590040.112716,658621.594776,641954.572887
2038,600332.773915,663046.186111,646197.173421
