year,Base case diesel consumed,Modeled diesel efficiency
2019,109433.466772,99484.969793
2020,109433.466772,99484.969793
2021,109433.466772,99484.969793
2022,109507.408304,99552.1893672
2023,109507.408304,99552.1893672
2024,109581.349836,99619.4089414
2025,109581.349836,99619.4089414
2026,109581.349836,99619.4089414
2027,109581.349836,99619.4089414
2028,109581.349836,99619.4089414
2029,109655.291367,99686.6285156
2030,109655.291367,99686.6285156
2031,109655.291367,99686.6285156
2032,109655.291367,99686.6285156
2033,109655.291367,99686.6285156
2034,109729.232899,99753.8480898
2035,109877.115962,99888.2872381
2036,109803.17443,99821.0676639
2037,109877.115962,99888.2872381
2038,109951.057494,99955.5068123
