year,annotation,Average Load
2003,,132.0
2004,,126.0
2005,,129.0
2006,,132.0
2007,,134.0
2008,,175.0
2009,,173.0
2010,,162.0
2011,,163.0
2012,,159.0
2013,,153.0
2014,start of forecast,160.0
2015,,160.0
2016,,160.0
2017,,160.0
2018,,160.0
2019,,160.0
2020,,160.0
2021,,160.0
2022,,160.0
2023,,160.0
2024,,160.0
2025,,160.0
2026,,160.0
2027,,160.0
2028,,160.0
2029,,160.0
2030,,160.0
2031,,160.0
2032,,160.0
2033,,160.0
2034,,160.0
2035,,160.0
2036,,160.0
2037,,160.0
2038,,161.0
2039,,161.0
2040,,161.0
