year,Base case cost,Modeled non-residential energy efficiency
2017,118607.128512,129421.961861
2018,124425.261466,134851.906727
2019,132621.550521,142530.611664
2020,136437.623188,146087.892273
2021,139169.719539,148647.460585
2022,141227.077275,150561.044955
2023,142687.149404,151934.853064
2024,143903.876178,153079.693155
2025,145231.197849,154306.37347
2026,146989.912781,155950.069709
2027,148449.98491,157323.877819
2028,149722.009132,158509.638022
2029,151237.378709,159924.366243
2030,152210.760129,160840.238316
2031,153969.475061,162483.934555
