year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.62
2003,,1.11,
2004,,1.12,2.33
2005,,1.12,2.9
2006,,1.32,2.84
2008,,2.33,3.75
2009,,2.79,3.02
2010,,2.92,3.05
2011,,3.56,4.07
2012,,3.92,3.98
2013,,4.08,4.0
2014,,,4.01
2016,start of forecast,1.35,1.79
2017,,1.66,2.1
2018,,1.89,2.33
2019,,2.22,2.66
2020,,2.37,2.81
2021,,2.48,2.92
2022,,2.56,3.0
2023,,2.62,3.06
2024,,2.67,3.11
2025,,2.72,3.16
2026,,2.79,3.23
2027,,2.85,3.29
2028,,2.9,3.34
2029,,2.96,3.4
2030,,3.0,3.44
2031,,3.07,3.51
2032,,3.15,3.59
2033,,3.22,3.66
2034,,3.3,3.74
2035,,3.34,3.78
2036,,3.42,3.86
2037,,3.47,3.91
2038,,3.55,3.99
2039,,3.61,4.05
2040,,3.7,4.14
