year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,179206.55,516.63,94443.81,75198.53
2018,175072.79,470.48,94443.81,69732.52
2019,175725.48,477.62,94443.81,70513.38
2020,176088.1,482.2,94443.81,71294.24
2021,175362.87,473.58,94443.81,70513.38
2022,177248.45,495.04,94443.81,72855.95
2023,180004.29,525.12,94443.81,75979.38
2024,185008.31,580.2,94443.81,82226.24
2025,189794.77,633.54,94443.81,88473.1
2026,194508.71,685.64,94443.81,93939.1
2027,197119.51,714.02,94443.81,97062.53
2028,199005.08,735.54,94443.81,99405.1
2029,223807.64,1008.88,94443.81,129858.54
2030,247812.46,1274.23,94443.81,158750.26
2031,267393.43,1490.68,94443.81,182956.84
2032,263404.71,,,178271.69
2033,252961.53,,,164997.12
2034,244548.96,,,154845.97
2035,243461.13,,,154065.11
2036,252526.39,,,164997.12
