year,annotation,Average Load
2003,,423.0
2004,,287.0
2005,,260.0
2006,,339.0
2007,,249.0
2008,,261.0
2009,,256.0
2010,,251.0
2011,,289.0
2012,,313.0
2013,,320.0
2014,start of forecast,286.0
2015,,277.0
2016,,266.0
2017,,255.0
2018,,249.0
2019,,250.0
2020,,250.0
2021,,249.0
2022,,252.0
2023,,256.0
2024,,263.0
2025,,270.0
2026,,277.0
2027,,280.0
2028,,283.0
2029,,318.0
2030,,352.0
2031,,380.0
2032,,374.0
2033,,360.0
2034,,348.0
2035,,346.0
2036,,359.0
2037,,385.0
2038,,410.0
2039,,418.0
2040,,414.0
