year,Base case cost,Modeled biomass for heat (cordwood)
2017,224207.452679,294716.581441
2018,250062.922679,313927.170479
2019,285494.492679,340252.792494
2020,302731.472679,353059.851853
2021,315180.402679,362309.394723
2022,323798.892679,368712.924402
2023,330502.162679,373693.447486
2024,335290.212679,377250.963974
2025,341993.482679,382231.487058
2026,348696.752679,387212.010142
2027,355400.022679,392192.533226
2028,361145.682679,396461.553012
2029,367848.952679,401442.076096
2030,372637.002679,404999.592585
2031,380297.882679,410691.618966
2032,,
2033,,
2034,,
2035,,
2036,,
