year,Base case cost,Modeled wind power
2019,446342.730914,780628.911437
2020,478959.618774,805498.944913
2021,499784.191145,820728.566895
2022,521110.43953,838181.388088
2023,541812.909334,855871.192298
2024,566125.441055,878031.820023
2025,594057.63952,902951.352894
2026,622427.871501,928308.919281
2027,644580.783408,947449.165594
2028,662686.917609,962973.015
2029,760945.977095,1058219.40889
2030,854952.97708,1150074.50488
2031,943898.792063,1235577.27347
2032,950891.002128,1239126.43714
2033,935957.648383,1220319.65621
2034,924395.077847,1205314.03928
2035,934890.742334,1213227.41897
2036,992428.728259,1266891.9777
2037,1078657.73247,1350969.07792
2038,1172708.42267,1441146.34092
