year,Base case cost,Modeled biomass for heat (pellet)
2017,224207.452679,280520.047077
2018,250062.922679,299066.148019
2019,285494.492679,324481.175235
2020,302731.472679,336845.242529
2021,315180.402679,345774.846686
2022,323798.892679,351956.880334
2023,330502.162679,356765.128726
2024,335290.212679,360199.591863
2025,341993.482679,365007.840256
2026,348696.752679,369816.088648
2027,355400.022679,374624.33704
2028,361145.682679,378745.692805
2029,367848.952679,383553.941197
2030,372637.002679,386988.404335
2031,380297.882679,392483.545354
2032,,
2033,,
2034,,
2035,,
2036,,
