year,Base case diesel consumed,Modeled solar power (pv)
2016,120282.178541,118190.730969
2017,122145.285395,120070.569404
2018,123710.295153,121652.17689
2019,125498.877734,123457.224417
2020,127212.93604,125187.615949
2021,128777.945798,126768.828268
2022,130193.907008,128200.862418
2023,131609.868217,129632.767984
2024,133025.829427,131064.545996
2025,134441.790637,132496.197473
2026,135932.27612,134002.247702
2027,137646.334427,135731.746236
2028,139434.917007,137535.645522
2029,140999.926765,139115.849451
2030,142490.412249,140621.407554
2031,143980.897733,142126.845075
2032,145545.907491,143706.687254
2033,146887.344426,145062.837952
2034,148452.354184,146642.443761
2035,150539.033861,148743.602722
