year,Base case diesel consumed,Modeled diesel efficiency
2019,125498.877734,114089.888849
2020,127212.93604,115648.123673
2021,128777.945798,117070.859817
2022,130193.907008,118358.09728
2023,131609.868217,119645.334743
2024,133025.829427,120932.572206
2025,134441.790637,122219.80967
2026,135932.27612,123574.796473
2027,137646.334427,125133.031297
2028,139434.917007,126759.015461
2029,140999.926765,128181.751605
2030,142490.412249,129536.738408
2031,143980.897733,130891.725212
2032,145545.907491,132314.461355
2033,146887.344426,133533.949478
2034,148452.354184,134956.685622
2035,150539.033861,136853.667147
2036,152104.043619,138276.40329
2037,153669.053377,139699.139434
2038,155308.587409,141189.624918
