year,Base case diesel consumed,Modeled residential ashp
2017,112704.896151,15392.5669316
2018,113956.900406,16644.5711868
2019,116460.908917,19148.5796973
2020,118964.917427,21652.5882077
2021,120216.921683,22904.592463
2022,121468.925938,24156.5967182
2023,123972.934448,26660.6052287
2024,125224.938704,27912.6094839
2025,126476.942959,29164.6137391
2026,127728.947214,30416.6179943
2027,130232.955724,32920.6265048
2028,132736.964235,35424.6350153
2029,133988.96849,36676.6392705
2030,135240.972745,37928.6435257
2031,137744.981256,40432.6520362
