year,Base case cost,Modeled water and wastewater efficiency
2017,29004.6152102,23274.9458339
2018,30497.3705689,24039.0700108
2019,32555.238376,25147.8727765
2020,33435.5832439,25583.6797696
2021,34052.2179551,25867.2854887
2022,34510.7760451,26060.8203505
2023,34810.1535412,26164.991203
2024,35002.9448305,26210.7644792
2025,35297.6081417,26321.3198402
2026,35638.3517655,26466.6615257
2027,35913.8079438,26587.1960705
2028,36075.2269963,26651.3403337
2029,36406.6823079,26805.7195532
2030,36581.2323122,26870.6623345
2031,36907.6633126,27030.5016479
