year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1758.81931064,653.153773126
2018,1715.32957207,637.003457589
2019,1665.49802388,618.498052556
2020,1619.15633543,601.288639128
2021,1577.16149004,585.69346596
2022,1537.7449192,571.055758828
2023,1499.29054018,556.775370503
2024,1461.07254739,542.582766384
2025,1422.34116366,528.199509807
2026,1381.65942711,513.091971717
2027,1335.42161543,495.921133884
2028,1285.06335877,477.220130805
2029,1243.75170286,461.878666354
2030,1202.31219863,446.489724248
2031,1161.01053087,431.151968989
