year,Base case diesel consumed,Modeled wind power,Chefornak wind heat system
2019,125498.877734,82194.7651189,74589.4597434
2020,127212.93604,83908.8234253,76303.5180498
2021,128777.945798,85473.8331832,77868.5278077
2022,130193.907008,86889.7943928,79284.4890173
2023,131609.868217,88305.7556024,80700.4502269
2024,133025.829427,89721.716812,82116.4114365
2025,134441.790637,91137.6780216,83532.3726461
2026,135932.27612,92628.1635053,85022.8581299
2027,137646.334427,94342.2218117,86736.9164362
2028,139434.917007,96130.8043922,88525.4990167
2029,140999.926765,97695.8141502,90090.5087747
2030,142490.412249,99186.299634,91580.9942585
2031,143980.897733,100676.785118,93071.4797423
2032,145545.907491,102241.794876,94636.4895002
2033,146887.344426,103583.231811,95977.9264356
2034,148452.354184,105148.241569,97542.9361936
2035,150539.033861,107234.921246,99629.6158709
2036,152104.043619,108799.931004,101194.625629
2037,153669.053377,110364.940762,102759.635387
2038,155308.587409,112004.474794,104399.169419
