year,Base case cost,Modeled non-residential energy efficiency
2017,716214.05736,699752.645787
2018,756578.96417,736580.032682
2019,812254.697701,787723.750929
2020,837308.777791,810294.968991
2021,855403.391188,826387.226765
2022,869322.324571,838599.366882
2023,879065.577939,846930.948162
2024,886025.044631,852681.186963
2025,895768.297999,861048.251361
2026,906903.444705,870732.08326
2027,916646.698073,879132.986998
2028,923606.164764,884950.923512
2029,934741.311471,894683.746162
2030,941700.778162,900533.198017
2031,952835.924868,910296.797366
