year,Base case cost,Modeled wind power,Chefornak wind heat system
2019,395321.464862,619407.853692,721308.828434
2020,423619.077014,634282.144578,732700.562212
2021,445571.692462,644812.63548,740126.326192
2022,463490.308948,652569.790346,745025.909698
2023,477743.821629,657918.860783,747763.320899
2024,489535.052291,661690.708979,749103.507003
2025,504156.714887,667700.968572,752602.113137
2026,520620.617541,675326.455739,757699.498102
2027,536820.704264,683194.603462,763151.365309
2028,550767.922178,689681.524102,767397.423386
2029,568229.704864,698709.484045,774035.356873
2030,581360.881976,704640.635068,777814.468323
2031,598960.534568,714060.635923,784931.1839
2032,617114.64776,724157.732743,792766.847328
2033,636022.201365,734759.629603,801083.481083
2034,654674.881952,745592.00904,809735.211155
2035,672909.48136,756857.323107,818988.254782
2036,693594.438904,769579.327302,829541.950582
2037,708414.336069,778018.798762,836109.088263
2038,729950.360824,791807.161432,847802.61519
